id,object,url,data_updated_at,created_at,subject_id,subject_type,meaning_correct,meaning_incorrect,meaning_max_streak,meaning_current_streak,reading_correct,reading_incorrect,reading_max_streak,reading_current_streak,percentage_correct,hidden
343586806,review_statistic,https://api.wanikani.com/v2/review_statistics/343586806,2024-10-30T23:12:14.053306Z,2024-01-11T04:36:50.615055Z,2477,vocabulary,19,0,19,19,19,4,7,7,90,False
343586865,review_statistic,https://api.wanikani.com/v2/review_statistics/343586865,2025-01-20T19:06:32.656125Z,2024-01-11T04:37:19.155697Z,2480,vocabulary,19,1,10,10,19,4,9,4,88,False
343586996,review_statistic,https://api.wanikani.com/v2/review_statistics/343586996,2024-11-05T13:55:00.254509Z,2024-01-11T04:38:22.341290Z,2483,vocabulary,20,0,20,20,20,4,5,5,91,False
343587007,review_statistic,https://api.wanikani.com/v2/review_statistics/343587007,2024-07-05T14:23:41.224902Z,2024-01-11T04:38:29.108193Z,2482,vocabulary,8,0,8,8,8,0,8,8,100,False
343587027,review_statistic,https://api.wanikani.com/v2/review_statistics/343587027,2024-07-05T14:25:22.041839Z,2024-01-11T04:38:40.132330Z,2476,vocabulary,8,0,8,8,8,0,8,8,100,False
344041140,review_statistic,https://api.wanikani.com/v2/review_statistics/344041140,2024-07-18T12:15:06.052735Z,2024-01-14T09:05:40.834142Z,2471,vocabulary,13,0,13,13,13,2,7,7,93,False
344041142,review_statistic,https://api.wanikani.com/v2/review_statistics/344041142,2024-07-08T11:25:27.038671Z,2024-01-14T09:05:41.905468Z,2485,vocabulary,8,0,8,8,8,0,8,8,100,False
344041154,review_statistic,https://api.wanikani.com/v2/review_statistics/344041154,2024-07-08T01:33:13.435838Z,2024-01-14T09:05:47.434290Z,2472,vocabulary,9,0,9,9,9,1,9,9,95,False
344041158,review_statistic,https://api.wanikani.com/v2/review_statistics/344041158,2024-07-08T11:27:41.191669Z,2024-01-14T09:05:50.325223Z,2486,vocabulary,8,0,8,8,8,0,8,8,100,False
344041185,review_statistic,https://api.wanikani.com/v2/review_statistics/344041185,2025-03-25T10:00:37.378387Z,2024-01-14T09:06:10.808784Z,2484,vocabulary,19,1,14,5,19,3,14,5,90,False
344041827,review_statistic,https://api.wanikani.com/v2/review_statistics/344041827,2024-08-28T23:35:57.676111Z,2024-01-14T09:14:05.091605Z,2489,vocabulary,12,0,12,12,12,2,7,5,92,False
344041837,review_statistic,https://api.wanikani.com/v2/review_statistics/344041837,2024-07-08T13:23:30.221168Z,2024-01-14T09:14:08.287762Z,2487,vocabulary,9,0,9,9,9,1,9,9,95,False
344041874,review_statistic,https://api.wanikani.com/v2/review_statistics/344041874,2024-07-08T11:26:21.764647Z,2024-01-14T09:14:24.378491Z,2488,vocabulary,9,0,9,9,9,1,9,9,95,False
344041920,review_statistic,https://api.wanikani.com/v2/review_statistics/344041920,2024-12-20T06:11:04.283973Z,2024-01-14T09:14:48.995114Z,2493,vocabulary,10,1,7,7,10,0,10,10,95,False
344041929,review_statistic,https://api.wanikani.com/v2/review_statistics/344041929,2024-12-08T23:48:33.765558Z,2024-01-14T09:14:54.717859Z,2490,vocabulary,8,0,8,8,8,0,8,8,100,False
344378360,review_statistic,https://api.wanikani.com/v2/review_statistics/344378360,2024-07-11T11:58:32.780306Z,2024-01-16T13:11:56.018105Z,2495,vocabulary,10,0,10,10,10,1,7,7,95,False
344378377,review_statistic,https://api.wanikani.com/v2/review_statistics/344378377,2024-07-09T11:27:36.645055Z,2024-01-16T13:12:07.615463Z,2496,vocabulary,9,0,9,9,9,1,9,9,95,False
344378411,review_statistic,https://api.wanikani.com/v2/review_statistics/344378411,2024-07-18T12:29:28.390857Z,2024-01-16T13:12:17.234371Z,2497,vocabulary,11,0,11,11,11,1,7,7,96,False
344378454,review_statistic,https://api.wanikani.com/v2/review_statistics/344378454,2024-09-08T10:16:46.695827Z,2024-01-16T13:12:33.829286Z,2499,vocabulary,14,1,10,10,14,2,5,5,90,False
344378480,review_statistic,https://api.wanikani.com/v2/review_statistics/344378480,2024-07-31T14:06:38.739830Z,2024-01-16T13:12:46.239881Z,2498,vocabulary,11,0,11,11,11,1,6,6,96,False
344485058,review_statistic,https://api.wanikani.com/v2/review_statistics/344485058,2025-02-14T11:15:42.405511Z,2024-01-17T04:17:44.978108Z,2501,vocabulary,14,1,9,5,14,2,7,5,90,False
344485061,review_statistic,https://api.wanikani.com/v2/review_statistics/344485061,2024-12-20T07:00:31.606906Z,2024-01-17T04:17:47.577212Z,2500,vocabulary,8,0,8,8,8,0,8,8,100,False
344485074,review_statistic,https://api.wanikani.com/v2/review_statistics/344485074,2025-01-07T17:48:21.780252Z,2024-01-17T04:17:56.741733Z,2503,vocabulary,11,1,6,6,11,0,11,11,96,False
344485124,review_statistic,https://api.wanikani.com/v2/review_statistics/344485124,2024-12-12T03:16:46.850165Z,2024-01-17T04:18:22.176619Z,2502,vocabulary,8,0,8,8,8,0,8,8,100,False
344485140,review_statistic,https://api.wanikani.com/v2/review_statistics/344485140,2024-07-09T13:22:01.989298Z,2024-01-17T04:18:31.665003Z,2504,vocabulary,8,0,8,8,8,0,8,8,100,False
344505192,review_statistic,https://api.wanikani.com/v2/review_statistics/344505192,2024-07-09T13:31:16.446932Z,2024-01-17T07:30:02.709208Z,2505,vocabulary,8,0,8,8,8,0,8,8,100,False
344505197,review_statistic,https://api.wanikani.com/v2/review_statistics/344505197,2024-07-09T11:27:46.711761Z,2024-01-17T07:30:06.012360Z,2506,vocabulary,8,0,8,8,8,0,8,8,100,False
344505217,review_statistic,https://api.wanikani.com/v2/review_statistics/344505217,2024-07-11T12:00:20.743536Z,2024-01-17T07:30:20.417936Z,3402,vocabulary,9,0,9,9,9,1,9,9,95,False
344505227,review_statistic,https://api.wanikani.com/v2/review_statistics/344505227,2024-07-18T12:24:38.458359Z,2024-01-17T07:30:23.618784Z,7560,vocabulary,11,0,11,11,11,1,7,7,96,False
344505253,review_statistic,https://api.wanikani.com/v2/review_statistics/344505253,2024-09-17T23:20:23.324031Z,2024-01-17T07:30:39.147887Z,8958,vocabulary,10,0,10,10,10,1,8,8,95,False
344816477,review_statistic,https://api.wanikani.com/v2/review_statistics/344816477,2025-02-04T00:14:34.671489Z,2024-01-19T07:37:22.158854Z,45,radical,11,1,6,6,11,0,11,11,96,False
344816481,review_statistic,https://api.wanikani.com/v2/review_statistics/344816481,2025-01-30T18:15:20.976914Z,2024-01-19T07:37:23.914468Z,17,radical,8,0,8,8,8,0,8,8,100,False
344816485,review_statistic,https://api.wanikani.com/v2/review_statistics/344816485,2025-02-04T00:11:31.469500Z,2024-01-19T07:37:27.256389Z,24,radical,11,1,7,4,11,0,11,11,96,False
344816492,review_statistic,https://api.wanikani.com/v2/review_statistics/344816492,2025-02-04T00:16:31.404050Z,2024-01-19T07:37:30.770562Z,26,radical,8,0,8,8,8,0,8,8,100,False
344816500,review_statistic,https://api.wanikani.com/v2/review_statistics/344816500,2025-02-04T00:06:39.328527Z,2024-01-19T07:37:36.220016Z,27,radical,8,0,8,8,8,0,8,8,100,False
344832125,review_statistic,https://api.wanikani.com/v2/review_statistics/344832125,2025-01-30T18:08:18.449497Z,2024-01-19T10:31:17.083705Z,29,radical,8,0,8,8,8,0,8,8,100,False
344832129,review_statistic,https://api.wanikani.com/v2/review_statistics/344832129,2025-03-31T08:11:04.730901Z,2024-01-19T10:31:19.363791Z,30,radical,8,0,8,8,8,0,8,8,100,False
344832133,review_statistic,https://api.wanikani.com/v2/review_statistics/344832133,2025-02-04T00:09:32.069406Z,2024-01-19T10:31:20.979839Z,28,radical,8,0,8,8,8,0,8,8,100,False
344832137,review_statistic,https://api.wanikani.com/v2/review_statistics/344832137,2025-02-04T00:08:54.560200Z,2024-01-19T10:31:23.118339Z,32,radical,8,0,8,8,8,0,8,8,100,False
344832142,review_statistic,https://api.wanikani.com/v2/review_statistics/344832142,2024-07-11T23:49:28.743266Z,2024-01-19T10:31:25.870022Z,31,radical,9,1,9,9,9,0,9,9,95,False
344932086,review_statistic,https://api.wanikani.com/v2/review_statistics/344932086,2025-02-04T00:21:21.494287Z,2024-01-20T02:41:59.839611Z,35,radical,8,0,8,8,8,0,8,8,100,False
344932092,review_statistic,https://api.wanikani.com/v2/review_statistics/344932092,2025-01-30T17:53:19.746124Z,2024-01-20T02:42:02.110718Z,34,radical,8,0,8,8,8,0,8,8,100,False
344932094,review_statistic,https://api.wanikani.com/v2/review_statistics/344932094,2025-01-30T17:41:25.179283Z,2024-01-20T02:42:04.340788Z,33,radical,8,0,8,8,8,0,8,8,100,False
344932096,review_statistic,https://api.wanikani.com/v2/review_statistics/344932096,2024-09-03T14:44:39.315628Z,2024-01-20T02:42:06.198090Z,37,radical,11,1,6,5,11,0,11,11,96,False
344932100,review_statistic,https://api.wanikani.com/v2/review_statistics/344932100,2024-12-27T12:28:34.548356Z,2024-01-20T02:42:08.030530Z,36,radical,11,1,7,4,11,0,11,11,96,False
344932220,review_statistic,https://api.wanikani.com/v2/review_statistics/344932220,2025-01-30T17:56:35.502408Z,2024-01-20T02:43:20.779815Z,38,radical,8,0,8,8,8,0,8,8,100,False
344932222,review_statistic,https://api.wanikani.com/v2/review_statistics/344932222,2025-02-03T23:37:02.988664Z,2024-01-20T02:43:22.590582Z,40,radical,11,1,6,5,11,0,11,11,96,False
344932225,review_statistic,https://api.wanikani.com/v2/review_statistics/344932225,2025-01-30T17:43:43.388145Z,2024-01-20T02:43:24.370067Z,39,radical,8,0,8,8,8,0,8,8,100,False
344932231,review_statistic,https://api.wanikani.com/v2/review_statistics/344932231,2025-01-30T17:59:59.595012Z,2024-01-20T02:43:26.277044Z,41,radical,8,0,8,8,8,0,8,8,100,False
344932235,review_statistic,https://api.wanikani.com/v2/review_statistics/344932235,2025-02-04T00:14:27.612567Z,2024-01-20T02:43:28.601271Z,42,radical,8,0,8,8,8,0,8,8,100,False
344932288,review_statistic,https://api.wanikani.com/v2/review_statistics/344932288,2025-02-04T00:02:36.277407Z,2024-01-20T02:44:06.917151Z,44,radical,8,0,8,8,8,0,8,8,100,False
344932289,review_statistic,https://api.wanikani.com/v2/review_statistics/344932289,2025-02-03T23:49:35.977662Z,2024-01-20T02:44:08.697651Z,43,radical,8,0,8,8,8,0,8,8,100,False
344932294,review_statistic,https://api.wanikani.com/v2/review_statistics/344932294,2025-02-04T00:19:06.268653Z,2024-01-20T02:44:10.444490Z,8763,radical,12,2,8,4,12,0,12,12,92,False
344932296,review_statistic,https://api.wanikani.com/v2/review_statistics/344932296,2025-01-30T17:54:52.051113Z,2024-01-20T02:44:12.264958Z,47,radical,11,1,6,6,11,0,11,11,96,False
344932299,review_statistic,https://api.wanikani.com/v2/review_statistics/344932299,2025-01-30T17:53:19.750436Z,2024-01-20T02:44:13.542938Z,46,radical,8,0,8,8,8,0,8,8,100,False
344947218,review_statistic,https://api.wanikani.com/v2/review_statistics/344947218,2025-01-30T17:20:06.120207Z,2024-01-20T05:51:23.507856Z,50,radical,8,0,8,8,8,0,8,8,100,False
344947221,review_statistic,https://api.wanikani.com/v2/review_statistics/344947221,2025-02-03T23:39:38.873553Z,2024-01-20T05:51:25.150228Z,48,radical,8,0,8,8,8,0,8,8,100,False
344947224,review_statistic,https://api.wanikani.com/v2/review_statistics/344947224,2025-02-03T23:47:37.802572Z,2024-01-20T05:51:31.105447Z,49,radical,9,1,9,9,9,0,9,9,95,False
344947229,review_statistic,https://api.wanikani.com/v2/review_statistics/344947229,2025-02-03T23:55:19.871530Z,2024-01-20T05:51:35.018863Z,51,radical,8,0,8,8,8,0,8,8,100,False
344947233,review_statistic,https://api.wanikani.com/v2/review_statistics/344947233,2024-07-12T04:35:02.745202Z,2024-01-20T05:51:36.911982Z,52,radical,8,0,8,8,8,0,8,8,100,False
344947351,review_statistic,https://api.wanikani.com/v2/review_statistics/344947351,2025-01-30T17:53:28.968917Z,2024-01-20T05:53:09.379424Z,126,radical,8,0,8,8,8,0,8,8,100,False
344947352,review_statistic,https://api.wanikani.com/v2/review_statistics/344947352,2024-07-11T23:49:00.941449Z,2024-01-20T05:53:11.136647Z,53,radical,8,0,8,8,8,0,8,8,100,False
344947356,review_statistic,https://api.wanikani.com/v2/review_statistics/344947356,2025-02-03T23:58:55.155800Z,2024-01-20T05:53:15.016383Z,55,radical,11,1,7,4,11,0,11,11,96,False
344947359,review_statistic,https://api.wanikani.com/v2/review_statistics/344947359,2024-07-12T04:01:58.925238Z,2024-01-20T05:53:16.903944Z,140,radical,8,0,8,8,8,0,8,8,100,False
344947376,review_statistic,https://api.wanikani.com/v2/review_statistics/344947376,2024-07-15T10:42:33.211774Z,2024-01-20T05:53:26.434578Z,465,kanji,15,0,15,15,15,5,7,7,86,False
344951990,review_statistic,https://api.wanikani.com/v2/review_statistics/344951990,2024-07-12T04:01:06.058749Z,2024-01-20T06:55:38.755408Z,471,kanji,8,0,8,8,8,0,8,8,100,False
344952029,review_statistic,https://api.wanikani.com/v2/review_statistics/344952029,2024-12-10T00:53:52.808516Z,2024-01-20T06:56:04.212990Z,468,kanji,8,0,8,8,8,0,8,8,100,False
