id,object,url,data_updated_at,created_at,name,description,unlocking_stage_position,starting_stage_position,passing_stage_position,burning_stage_position,stages
1,spaced_repetition_system,https://api.wanikani.com/v2/spaced_repetition_systems/1,2020-06-09T03:36:51.134752Z,2020-05-21T20:46:06.464460Z,Default system for dictionary subjects,The original spaced repetition system,0,1,5,9,"[{'position': 0, 'interval': None, 'interval_unit': 'seconds'}, {'position': 1, 'interval': 14400, 'interval_unit': 'seconds'}, {'position': 2, 'interval': 28800, 'interval_unit': 'seconds'}, {'position': 3, 'interval': 82800, 'interval_unit': 'seconds'}, {'position': 4, 'interval': 169200, 'interval_unit': 'seconds'}, {'position': 5, 'interval': 601200, 'interval_unit': 'seconds'}, {'position': 6, 'interval': 1206000, 'interval_unit': 'seconds'}, {'position': 7, 'interval': 2588400, 'interval_unit': 'seconds'}, {'position': 8, 'interval': 10364400, 'interval_unit': 'seconds'}, {'position': 9, 'interval': None, 'interval_unit': 'seconds'}]"
2,spaced_repetition_system,https://api.wanikani.com/v2/spaced_repetition_systems/2,2020-06-09T03:38:01.007395Z,2020-05-21T20:48:06.470578Z,Default accelerated system for dictionary subjects,"The original spaced repetition system, but accelerated",0,1,5,9,"[{'position': 0, 'interval': None, 'interval_unit': 'seconds'}, {'position': 1, 'interval': 7200, 'interval_unit': 'seconds'}, {'position': 2, 'interval': 14400, 'interval_unit': 'seconds'}, {'position': 3, 'interval': 28800, 'interval_unit': 'seconds'}, {'position': 4, 'interval': 82800, 'interval_unit': 'seconds'}, {'position': 5, 'interval': 601200, 'interval_unit': 'seconds'}, {'position': 6, 'interval': 1206000, 'interval_unit': 'seconds'}, {'position': 7, 'interval': 2588400, 'interval_unit': 'seconds'}, {'position': 8, 'interval': 10364400, 'interval_unit': 'seconds'}, {'position': 9, 'interval': None, 'interval_unit': 'seconds'}]"
